sku_id,store_id,month_year,insight
100,1.0,2024-03,🔺 Increase production for SKU 100 in Store 1 for 2024-03 due to high forecasted demand.
101,1.0,2024-03,🔺 Increase production for SKU 101 in Store 1 for 2024-03 due to high forecasted demand.
102,1.0,2024-02,🔺 Increase production for SKU 102 in Store 1 for 2024-02 due to high forecasted demand.
103,1.0,2024-03,🔺 Increase production for SKU 103 in Store 1 for 2024-03 due to high forecasted demand.
104,1.0,2024-01,🔺 Increase production for SKU 104 in Store 1 for 2024-01 due to high forecasted demand.
104,1.0,2024-03,🔺 Increase production for SKU 104 in Store 1 for 2024-03 due to high forecasted demand.
105,1.0,2024-01,🔺 Increase production for SKU 105 in Store 1 for 2024-01 due to high forecasted demand.
106,1.0,2024-01,🔺 Increase production for SKU 106 in Store 1 for 2024-01 due to high forecasted demand.
106,1.0,2024-03,🔺 Increase production for SKU 106 in Store 1 for 2024-03 due to high forecasted demand.
108,1.0,2024-01,🔺 Increase production for SKU 108 in Store 1 for 2024-01 due to high forecasted demand.
108,1.0,2024-03,🔺 Increase production for SKU 108 in Store 1 for 2024-03 due to high forecasted demand.
101,2.0,2024-01,🔺 Increase production for SKU 101 in Store 2 for 2024-01 due to high forecasted demand.
102,2.0,2024-02,🔺 Increase production for SKU 102 in Store 2 for 2024-02 due to high forecasted demand.
103,2.0,2024-04,🔺 Increase production for SKU 103 in Store 2 for 2024-04 due to high forecasted demand.
104,2.0,2024-02,🔺 Increase production for SKU 104 in Store 2 for 2024-02 due to high forecasted demand.
105,2.0,2024-01,🔺 Increase production for SKU 105 in Store 2 for 2024-01 due to high forecasted demand.
105,2.0,2024-02,🔺 Increase production for SKU 105 in Store 2 for 2024-02 due to high forecasted demand.
105,2.0,2024-03,🔺 Increase production for SKU 105 in Store 2 for 2024-03 due to high forecasted demand.
108,2.0,2024-02,🔺 Increase production for SKU 108 in Store 2 for 2024-02 due to high forecasted demand.
108,2.0,2024-03,🔺 Increase production for SKU 108 in Store 2 for 2024-03 due to high forecasted demand.
109,2.0,2024-01,🔺 Increase production for SKU 109 in Store 2 for 2024-01 due to high forecasted demand.
101,3.0,2024-01,🔺 Increase production for SKU 101 in Store 3 for 2024-01 due to high forecasted demand.
101,3.0,2024-02,🔺 Increase production for SKU 101 in Store 3 for 2024-02 due to high forecasted demand.
102,3.0,2024-01,🔺 Increase production for SKU 102 in Store 3 for 2024-01 due to high forecasted demand.
103,3.0,2024-01,🔺 Increase production for SKU 103 in Store 3 for 2024-01 due to high forecasted demand.
103,3.0,2024-02,🔺 Increase production for SKU 103 in Store 3 for 2024-02 due to high forecasted demand.
103,3.0,2024-03,🔺 Increase production for SKU 103 in Store 3 for 2024-03 due to high forecasted demand.
103,3.0,2024-04,🔺 Increase production for SKU 103 in Store 3 for 2024-04 due to high forecasted demand.
104,3.0,2024-03,🔺 Increase production for SKU 104 in Store 3 for 2024-03 due to high forecasted demand.
105,3.0,2024-02,🔺 Increase production for SKU 105 in Store 3 for 2024-02 due to high forecasted demand.
107,3.0,2024-01,🔺 Increase production for SKU 107 in Store 3 for 2024-01 due to high forecasted demand.
107,3.0,2024-02,🔺 Increase production for SKU 107 in Store 3 for 2024-02 due to high forecasted demand.
108,3.0,2024-01,🔺 Increase production for SKU 108 in Store 3 for 2024-01 due to high forecasted demand.
108,3.0,2024-03,🔺 Increase production for SKU 108 in Store 3 for 2024-03 due to high forecasted demand.
109,3.0,2024-01,🔺 Increase production for SKU 109 in Store 3 for 2024-01 due to high forecasted demand.
109,3.0,2024-04,🔺 Increase production for SKU 109 in Store 3 for 2024-04 due to high forecasted demand.
100,4.0,2024-02,🔺 Increase production for SKU 100 in Store 4 for 2024-02 due to high forecasted demand.
100,4.0,2024-03,🔺 Increase production for SKU 100 in Store 4 for 2024-03 due to high forecasted demand.
101,4.0,2024-01,🔺 Increase production for SKU 101 in Store 4 for 2024-01 due to high forecasted demand.
101,4.0,2024-03,🔺 Increase production for SKU 101 in Store 4 for 2024-03 due to high forecasted demand.
102,4.0,2024-01,🔺 Increase production for SKU 102 in Store 4 for 2024-01 due to high forecasted demand.
102,4.0,2024-03,🔺 Increase production for SKU 102 in Store 4 for 2024-03 due to high forecasted demand.
103,4.0,2024-03,🔺 Increase production for SKU 103 in Store 4 for 2024-03 due to high forecasted demand.
104,4.0,2024-02,🔺 Increase production for SKU 104 in Store 4 for 2024-02 due to high forecasted demand.
